user_id,retweet_count,retweeted,favorite_count,text,hashtags,mentions,created_at,created_str
4233777387.0,,,,Sheriff's deputees fatally shot a black man ,[],[],1450044370000.0,2015-12-13 22:06:10
4233777387.0,0.0,False,0.0,DNC Staffers Exposed for Making Fun of Black Woman’s Name in Wikileaks Emails https://t.co/5itfWzKeYE,[],[],1471483529000.0,2016-08-18 01:25:29
4233777387.0,6.0,False,1.0,Racist white guy had it tough with these Black women https://t.co/ydU7VykJik,[],[],1471485949000.0,2016-08-18 02:05:49
4233777387.0,0.0,False,0.0,#MakeAmericaGreatAgain - Donald Trump to Visit Black Church in Detroit  https://t.co/TfhCxvLoCE,"[""MakeAmericaGreatAgain""]",[],1472496737000.0,2016-08-29 18:52:17
4233777387.0,5.0,False,1.0,Will 100 Black Athletes Risk Everything to Back Colin Kaepernick — Or Does He Stand Alone? https://t.co/lkHja79oYW,[],[],1472842731000.0,2016-09-02 18:58:51
4233777387.0,0.0,False,0.0,"Obama Grants Clemency to Another 111 Federal Inmates, More Than the Last 9 Presidents Combined https://t.co/vaYDynSvE2",[],[],1472844582000.0,2016-09-02 19:29:42
4233777387.0,0.0,False,0.0,"Dr. Michael Eric Dyson: Instead of Obama Addressing Black Issues, He Used ‘Escape Hatch’ https://t.co/9i29iv1PAk",[],[],1472852268000.0,2016-09-02 21:37:48
4233777387.0,0.0,False,0.0,GOP Congressman Files Legislation that Would Bar U.S. Treasury from Putting Harriet Tubman on the $20 Bill  https://t.co/YjrpUEbuCp,[],[],1472951224000.0,2016-09-04 01:07:04
4233777387.0,0.0,False,0.0,Diddy: Black People Got ‘A Little Bit Shortchanged’ with Obama Presidency https://t.co/8NfHcnHJ5s,[],[],1473187708000.0,2016-09-06 18:48:28
4233777387.0,0.0,False,0.0,With Philippine President After Being Called ‘Son of a Bitch’ https://t.co/A41YgOP0oE,[],[],1473196869000.0,2016-09-06 21:21:09
4233777387.0,41.0,False,29.0,#NeverForget Cruelty in the name of White Supremacy https://t.co/oKNp2fUVVR,"[""NeverForget""]",[],1473537896000.0,2016-09-10 20:04:56
4233777387.0,1.0,False,0.0,"NYPD police officer rapes black teen girl in jail!! 
https://t.co/WsWCPdlqBp https://t.co/Avx1OmE4V4",[],[],1474915445000.0,2016-09-26 18:44:05
4233777387.0,8.0,False,4.0,"Outrageous! #BlackLivesMatter protesters harassed by a white guy in a gorilla mask w/ bananas, rope, and a confeder… https://t.co/XNJ7cwd538","[""Blacklivesmatter""]",[],1475170833000.0,2016-09-29 17:40:33
4233777387.0,5.0,False,2.0,"Report: Alabama Police, DA Have Framed as Many as 1,000 Innocent Black Men for Drugs, Guns for Years, Many Still in…
https://t.co/oWhEJ2Awfz",[],[],1475366589000.0,2016-10-02 00:03:09
4233777387.0,1.0,False,4.0,We don't hate nobody over their color. We hate oppression! https://t.co/ISrCsOK6Rb,[],[],1475372264000.0,2016-10-02 01:37:44
4233777387.0,1.0,False,1.0,Angela Davis: ‘Democratic Party Is just as linked to the corporate capitalist structure as the Republican Party’… https://t.co/bT5bgGLxk1,[],[],1475603833000.0,2016-10-04 17:57:13
4233777387.0,29.0,False,8.0,Nearly 90% of New Jersey children tried as adults since 2011 were black or Latino https://t.co/f4CVhZZCjA,[],[],1476213636000.0,2016-10-11 19:20:36
